"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","690","GetAllUsersWithAmount","All Test Suite","Wed May 14 13:57:00 IST 2025","passed","Wed May 14 13:57:01 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","GetAllUsersWithAmount"
"","8430","Squads","All Test Suite","Wed May 14 13:57:19 IST 2025","passed","Wed May 14 13:57:27 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","Squads"
"","379","usersDetails","All Test Suite","Wed May 14 13:56:50 IST 2025","passed","Wed May 14 13:56:51 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","usersDetails"
"","126","GetUserLevel","All Test Suite","Wed May 14 13:56:56 IST 2025","passed","Wed May 14 13:56:56 IST 2025","Tests.Patch_Users","C:/Users/hp/IdeaProjects/untitled6","Tests.Patch_Users","GetUserLevel"
"","391","Use","All Test Suite","Wed May 14 13:57:33 IST 2025","passed","Wed May 14 13:57:34 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","Use"
"","259","squadClusters","All Test Suite","Wed May 14 13:58:13 IST 2025","passed","Wed May 14 13:58:13 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","squadClusters"
"","16291","activities","All Test Suite","Wed May 14 13:57:03 IST 2025","passed","Wed May 14 13:57:19 IST 2025","Tests.Sacred_Admin","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Admin","activities"
"","550","HoldingsLedger","All Test Suite","Wed May 14 13:57:32 IST 2025","passed","Wed May 14 13:57:33 IST 2025","Tests.Cluster_Accounting","C:/Users/hp/IdeaProjects/untitled6","Tests.Cluster_Accounting","HoldingsLedger"
"","123","POST","All Test Suite","Tue May 13 18:20:43 IST 2025","passed","Tue May 13 18:20:43 IST 2025","Tests.Sacred_Analytics","C:/Users/hp/IdeaProjects/untitled6","Tests.Sacred_Analytics","POST"
"","262","usersDetails","All Test Suite","Wed May 14 13:57:39 IST 2025","passed","Wed May 14 13:57:39 IST 2025","Tests.sacredSecond","C:/Users/hp/IdeaProjects/untitled6","Tests.sacredSecond","usersDetails"
